Watching for file changes with StatReloader
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors-windows 200 [0.15, 127.0.0.1:63119]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&listing_type=sale 200 [0.23, 127.0.0.1:63118]
D:\work-shop\backend\sellers\serializers.py changed, reloading.
Watching for file changes with StatReloader
HTTP GET /api/v1/sellers/locations/ 200 [0.08, 127.0.0.1:63198]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors-windows&listing_type=sale&search= 200 [0.05, 127.0.0.1:63199]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors-windows&search= 200 [0.09, 127.0.0.1:63198]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=plumber&trade_category=pipes-drain&search= 200 [0.06, 127.0.0.1:63199]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=plumber&trade_category=pipes-drain&listing_type=sale&search= 200 [0.04, 127.0.0.1:63198]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors-windows 200 [0.08, 127.0.0.1:63274]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&listing_type=sale 200 [0.12, 127.0.0.1:63275]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors-windows 200 [0.07, 127.0.0.1:63308]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&listing_type=sale 200 [0.24, 127.0.0.1:63309]
HTTP GET /api/v1/sellers/locations/ 200 [0.13, 127.0.0.1:63309]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors-windows&listing_type=sale&search= 200 [0.05, 127.0.0.1:63308]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors-windows&search= 200 [0.06, 127.0.0.1:63309]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&search= 200 [0.18, 127.0.0.1:63309]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&listing_type=sale&search= 200 [0.15, 127.0.0.1:63308]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&search= 200 [0.05, 127.0.0.1:63308]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&listing_type=sale&search= 200 [0.12, 127.0.0.1:63309]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&listing_type=sale&search= 200 [0.05, 127.0.0.1:63308]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&search= 200 [0.05, 127.0.0.1:63309]
